date,O,H,L,C,IBH,IBL,vol,u_var,d_var,first,last,PnL
2023-08-29,15074.5,15400.75,15049.75,15372.0,15089.0,15052.75,0.011726528855788544,16585.393749999967,31740.62499999995,2093140,2093455,-54.12304515784672
2023-09-08,15236.0,15390.75,15223.0,15327.0,15267.0,15223.0,0.01073156550154463,4467.981249999955,6115.8249999999325,2103938,2104253,17.238766023671815
2023-09-25,14851.5,14936.25,14782.25,14902.75,14854.75,14799.0,0.010380829357046616,1923.3874999999532,3829.3624999999383,2119114,2119429,34.233896681534134
2023-10-03,14915.25,14974.75,14689.75,14696.75,14924.75,14874.5,0.010018119376249576,6659.612499999965,5479.99999999996,2127394,2127709,-46.64609612614913
2023-10-04,14725.0,14899.0,14719.5,14820.25,14790.25,14719.5,0.01003944127562148,4481.612499999969,7052.862499999944,2128774,2129089,34.912223070218715
2023-10-06,14890.75,15098.5,14660.0,15096.0,14899.25,14870.0,0.010746304002180894,5139.981249999965,10186.793749999968,2131534,2131849,-54.81102259566251
2023-10-09,14987.25,15192.0,14949.5,15191.5,15019.75,14978.0,0.010626871450677837,6450.918749999969,11907.793749999964,2132914,2133229,-43.96714379502373
2023-10-10,15181.5,15383.5,15171.75,15291.25,15207.5,15171.75,0.010683898359660354,4933.293749999976,11972.518749999945,2134294,2134609,33.70937896410396
2023-10-16,15131.75,15325.75,15124.25,15309.0,15156.75,15124.25,0.01044330397992137,6072.9249999999665,8027.268749999943,2139814,2140129,27.9695278403442
2023-12-01,15942.0,16050.0,15864.0,16031.0,15947.75,15920.25,0.007932094560113716,1351.137499999961,6645.893749999945,2186328,2186643,4.614307640926199
2023-12-05,15811.0,15961.0,15769.0,15898.75,15817.25,15769.0,0.008358531624503528,3924.5124999999603,7076.049999999966,2189088,2189403,-52.27156105554786
2023-12-18,16844.25,16974.0,16830.75,16961.0,16856.25,16830.75,0.007621917682021135,3777.4562499999693,6188.231249999941,2201508,2201823,1.0501152459146397
2024-01-16,16884.25,17033.75,16855.0,16927.0,16930.25,16879.0,0.008650662545222574,4482.206249999966,12853.793749999933,2227487,2227802,93.68472595034291
2024-01-22,17559.75,17585.0,17434.0,17469.5,17559.75,17513.25,0.009867597773495166,7037.343749999965,3412.512499999944,2233007,2233322,14.293509433782674
2024-02-05,17705.5,17745.5,17554.25,17735.25,17725.0,17690.5,0.008087468005257654,3783.5749999999625,1271.8249999999575,2246806,2247121,-51.048992898522556
2024-02-06,17731.0,17767.75,17560.75,17635.5,17752.5,17726.75,0.008302763567897635,3268.6374999999634,1680.543749999963,2248186,2248501,-54.89906550721571
2024-02-09,17912.0,18071.0,17875.0,18055.25,17972.0,17902.5,0.008595769608620546,3133.6749999999647,5956.887499999931,2252325,2252640,-14.500448939965281
2024-02-22,17890.25,18087.0,17864.0,18050.5,17903.75,17869.0,0.012715646512586047,6032.581249999959,13853.49999999996,2264498,2264813,-46.18301450966828
2024-03-12,18292.5,18464.5,18174.0,18454.5,18381.0,18204.0,0.014375329721152583,3202.2812499999727,8784.62499999995,2282438,2282753,13.663234372988882
2024-03-19,18084.25,18289.25,18053.25,18266.0,18151.75,18079.0,0.014232559526335294,7312.081249999963,9309.406249999964,2289338,2289653,-58.31856585168498
2024-03-20,18307.5,18454.5,18244.75,18419.25,18318.25,18282.5,0.014039969093255465,7186.512499999966,10276.237499999956,2290718,2291033,23.331022583761296
2024-04-03,18297.25,18451.75,18232.5,18416.25,18320.75,18260.5,0.009557888059323621,3013.3937499999643,4494.549999999956,2303078,2303393,-35.91750951949143
2024-04-04,18452.0,18568.0,18442.25,18498.0,18458.25,18442.25,0.009398336175877176,3459.4562499999656,6605.049999999945,2304458,2304773,10.464840358590664
2024-04-05,18139.0,18408.25,18051.5,18291.75,18166.5,18136.25,0.0090832713137107,9636.85624999997,6099.362499999947,2305838,2306153,170.2183995889245
2024-04-09,18324.0,18405.0,18160.75,18255.0,18368.75,18316.5,0.008598034132514362,6388.268749999971,3082.2624999999375,2308598,2308913,-26.6252604439469
2024-04-22,17277.75,17414.75,17148.5,17397.25,17298.0,17246.25,0.008187057612513324,1584.206249999964,10966.387499999986,2320991,2321306,-0.4559600878965284
2024-04-23,17402.0,17640.75,17360.0,17636.75,17410.5,17360.0,0.00902559688686271,7100.018749999967,12019.018749999985,2322371,2322686,-126.59391248127577
2024-05-24,18747.5,18919.0,18723.5,18903.5,18762.0,18726.0,0.008443065781724332,4101.049999999959,9956.29374999994,2354102,2354417,-64.64836062648101
2024-05-27,18876.5,18956.0,18868.0,18950.75,18883.25,18873.5,0.008442260590204257,3719.074999999958,11177.424999999937,2355482,2355751,-9.403901616984513
2024-05-30,18750.75,18787.0,18623.75,18702.75,18761.25,18738.5,0.007343086909128683,3378.04374999996,2276.2374999999233,2359382,2359697,10.501254352930118
2024-05-31,18537.5,18668.25,18241.25,18341.25,18582.25,18535.75,0.0075710686584040164,1798.9812499999587,12519.64374999995,2360762,2361077,151.65344465793532
2024-06-04,18574.25,18664.0,18562.25,18629.5,18600.5,18562.25,0.007804209032495701,1133.674999999961,14636.018749999967,2363522,2363837,23.96511639149321
2024-06-05,18787.5,19028.25,18778.0,19024.25,18816.25,18787.0,0.008946812752117403,5935.5499999999665,16685.749999999964,2364902,2365217,-95.39053802513081
2024-06-13,19616.5,19691.0,19500.0,19568.0,19644.0,19605.75,0.008907536833775482,6358.831249999968,2123.29999999993,2373180,2373495,50.75669562953044
2024-06-25,19831.25,19968.0,19792.25,19924.25,19842.0,19805.0,0.009934299465834587,2968.706249999959,18754.67499999996,2383979,2384294,44.85341144673657
2024-07-09,20732.0,20771.75,20615.75,20660.5,20732.75,20710.0,0.007410132852733202,7727.2937499999625,1211.15624999991,2397309,2397624,10.428755432876642
2024-07-12,20429.5,20741.0,20335.0,20710.25,20445.5,20406.0,0.009523849519021034,12165.76249999997,38154.20624999997,2401449,2401764,-106.86836242018035
2024-07-18,20065.25,20162.5,19773.0,19873.25,20114.0,20061.5,0.010475494800293403,11988.856249999972,9385.468749999975,2406969,2407284,35.11685782752829
2024-08-05,17723.5,18289.0,17362.5,18077.5,17756.75,17413.5,0.015922325528525783,50202.11249999998,64280.41875000007,2423527,2423842,-102.09207431525647
2024-08-29,19436.5,19693.5,19431.25,19633.75,19491.75,19431.25,0.01587642952027675,10988.437499999998,18061.18749999998,2448364,2448679,40.39921192388283
2024-09-04,18871.0,19114.75,18838.25,19005.25,18892.0,18857.25,0.014141071466468792,10484.043749999997,27069.387499999946,2453643,2453958,-4.007165852635808
2024-09-05,18956.75,19150.5,18827.25,19012.0,18967.0,18827.25,0.013395807442080996,7629.887499999997,23133.76874999996,2455023,2455338,37.52073029159146
2024-09-06,18758.75,18972.25,18430.25,18477.5,18815.25,18754.5,0.014920082478771152,8457.081249999997,30251.018749999974,2456403,2456718,295.62775234912806
2024-09-11,18806.75,19070.25,18547.0,19040.25,18858.5,18805.75,0.014518303566244723,4265.249999999998,10034.51874999998,2460543,2460858,-21.34573925762379
2024-10-03,19946.25,20113.75,19879.0,19962.75,19982.75,19940.25,0.011796980618637092,3655.8312499999975,30181.67499999996,2482603,2482918,93.17651495344398
2024-10-04,20075.0,20263.75,20013.25,20115.5,20085.5,20051.5,0.009311741662903167,5159.731249999997,31786.249999999956,2483983,2484298,-22.14506511973741
2024-10-10,20420.75,20508.25,20301.5,20445.75,20452.75,20419.5,0.007858936148234035,2782.1562499999973,1844.9812499999084,2489503,2489818,11.8666461739449
2024-10-21,20350.25,20554.5,20343.75,20491.75,20394.25,20343.75,0.005494812178056799,5473.268749999997,11647.043749999944,2499162,2499477,6.75667044158763
2024-10-25,20423.5,20707.25,20423.25,20510.5,20474.0,20423.25,0.00806271422887531,12503.187499999996,20444.106249999935,2504681,2504996,-46.85295491448778
2024-10-29,20493.25,20714.5,20432.25,20695.25,20513.0,20483.5,0.007726005882477012,14399.237499999996,17465.956249999945,2507501,2507816,-43.391053923947766
2024-11-05,20154.0,20372.75,20107.5,20294.5,20164.25,20107.5,0.01015702924468057,9710.39375,20658.799999999963,2514401,2514716,35.57614088693299
